Timestamp;ec45_target_rpm;now_ec45_current;now_ec45_rpm
6502000;-23000;0;0
6514000;-23000;59;0
6525000;-23000;59;0
6538000;-23000;22;0
6552000;-23000;-26;0
6565000;-23000;32;0
6578000;-23000;0;0
6590000;-23000;-26;0
6603000;-23000;-63;0
6615000;-23000;32;0
6626000;-23000;-100;0
6639000;-23000;-37;0
6652000;-23000;-63;0
6663000;-23000;-26;0
6674000;-23000;-37;0
6686000;-23000;59;0
6698000;-23000;43;0
6710000;-23000;-15;0
6722000;-23000;6;0
6735000;-23000;22;0
6747000;-23000;-15;0
6759000;-23000;-63;0
6771000;-23000;80;0
6782000;-23000;-37;0
6794000;-23000;22;0
6806000;-23000;-63;0
6818000;-23000;43;0
6830000;-23000;22;0
6842000;-23000;32;0
6854000;-23000;43;0
6865000;-23000;-15;0
6877000;-23000;59;0
6890000;-23000;43;0
6903000;-23000;-37;0
6916000;-23000;0;0
6928000;-23000;80;0
6940000;-23000;-22095;0
6952000;-23000;-23413;-103
6964000;-23000;-22499;-375
6979000;-23000;-23078;-578
6992000;-23000;-22690;-756
7004000;-23000;-22945;-996
7016000;-23000;-22610;-1210
7029000;-23000;-22637;-1442
7041000;-23000;-23009;-1695
7052000;-23000;-23158;-1921
7064000;-23000;-23184;-2163
7076000;-23000;-22626;-2383
7088000;-23000;-22717;-2622
7100000;-23000;-22972;-2826
7111000;4000;-23556;0
7123000;4000;-148;-3125
7135000;4000;-371;-2964
7147000;4000;-536;-1899
7158000;4000;-175;-971
7171000;4000;-159;-128
7183000;4000;-69;361
7194000;4000;-37;631
7207000;4000;75;791
7220000;4000;27;868
7232000;4000;11;910
7244000;4000;75;901
7255000;4000;16;869
7267000;4000;48;824
7279000;4000;-26;758
7292000;4000;-5;696
7303000;4000;70;619
7315000;4000;11;552
7327000;4000;6;485
7340000;4000;-5;417
7352000;4000;-21;349
7363000;4000;54;280
7375000;4000;54;210
7387000;4000;-138;146
7398000;4000;54;97
7410000;4000;-138;69
7422000;4000;-95;50
7433000;4000;-69;34
7445000;4000;64;19
7457000;4000;-42;13
7469000;4000;91;10
7481000;4000;-69;7
7493000;4000;54;5
7505000;4000;22;2
7516000;4000;38;3
7529000;4000;54;0
7542000;4000;-69;1
7553000;4000;64;-1
7565000;4000;-42;3
7577000;4000;-5;3
7589000;4000;-31;1
7600000;4000;-5;-2
7611000;4000;-31;-2
7623000;4000;6;-1
7635000;4000;-42;0
7646000;4000;128;0
7659000;4000;-26;0
7670000;4000;-42;-1
7683000;4000;-5;1
7694000;4000;-42;-1
7707000;4000;-5;0
7720000;4000;64;0
7732000;4000;117;2
7745000;4000;27;1
7756000;4000;-5;-2
7769000;4000;-42;-2
7780000;4000;54;-2
7793000;4000;-5;0
7804000;4000;-10;0
7816000;4000;-69;0
7828000;4000;27;-1
7839000;4000;-31;0
7850000;4000;-69;0
7862000;4000;38;0
7875000;4000;-74;0
7887000;4000;-31;1
7898000;4000;70;2
7910000;4000;-95;1
7921000;4000;27;0
7933000;4000;-10;-2
7945000;4000;-5;-1
7956000;4000;-5;0
7969000;4000;6;0
7981000;4000;-42;0
7993000;4000;22;-1
8004000;4000;-42;0
8015000;4000;54;0
8028000;4000;-5;0
8039000;4000;-31;0
8053000;4000;54;2
8065000;4000;-31;1
8077000;4000;54;0
8089000;4000;54;-1
8100000;4000;-42;-1
8113000;4000;-31;0
8125000;4000;3991;6
8137000;4000;3949;32
8148000;4000;4066;68
8161000;4000;3975;110
8173000;4000;4044;155
8185000;4000;3970;200
8197000;4000;3981;246
8209000;4000;4066;292
8221000;4000;4023;339
8233000;4000;3949;390
8246000;4000;3991;441
8258000;4000;3975;494
8269000;4000;3922;548
8282000;4000;4050;602
8294000;4000;4039;650
8306000;4000;4098;700
8317000;4000;4007;744
8329000;4000;3959;791
8342000;4000;4071;835
8353000;4000;4023;880
8364000;4000;4007;921
8376000;4000;3981;955
8387000;4000;4007;991
8398000;4000;4007;1027
8410000;4000;4082;1063
8421000;4000;4034;1101
8434000;4000;3991;1143
8446000;0;4044;0
8459000;0;-37;1149
8472000;0;27;694
8484000;0;43;420
8496000;0;-58;206
8507000;0;-58;99
8518000;0;-31;51
8531000;0;22;28
8544000;0;-31;20
8555000;0;-31;15
8566000;0;-5;14
8578000;0;27;13
8590000;0;43;11
8604000;0;54;8
8616000;0;6;6
8627000;0;6;4
8638000;0;-15;3
8650000;0;27;2
8661000;0;27;2
8672000;0;6;1
8685000;0;64;1
8697000;0;-15;0
8708000;0;80;0
8721000;0;-15;0
8733000;0;16;0
8745000;0;27;0
8756000;0;-5;1
8768000;0;-15;0
8780000;0;43;0
8792000;0;16;0
8803000;0;-79;0
8816000;0;-15;0
8828000;0;27;0
8840000;0;-26;0
8852000;0;27;0
8863000;0;-15;0
8875000;0;-15;0
8887000;0;64;0
8899000;0;-5;0
8910000;0;11;0
8922000;0;-26;0
8933000;0;-15;0
8945000;0;-26;0
8957000;0;-15;0
8969000;0;-15;0
8981000;0;43;0
8993000;0;27;0
9005000;0;80;0
9019000;0;27;0
9030000;0;11;0
9042000;0;-15;0
9053000;0;27;0
9065000;0;-5;0
9077000;0;-63;0
9089000;0;-42;0
9100000;0;-15;0
9113000;0;27;0
9126000;0;-53;0
9139000;0;-79;0
9151000;0;16;0
9163000;0;-15;0
9175000;0;-90;0
9187000;0;91;0
9199000;0;-5;0
9211000;0;11;0
9222000;0;16;0
9233000;0;-53;0
9246000;0;-15;0
9258000;0;-5;0
9269000;0;91;0
9282000;0;-5;0
9295000;0;-5;0
9307000;0;16;0
9319000;0;-42;0
9331000;0;54;0
9343000;0;16;0
9355000;0;80;0
9367000;0;-53;0
9379000;0;64;0
9391000;0;-15;0
9403000;0;43;0
9415000;0;43;0
9426000;0;11;0
9438000;0;-53;0
9451000;0;-106;0
9464000;0;11;0
9475000;0;27;0
9488000;0;-26;0
9500000;0;27;0
9512000;0;-5;0
9524000;0;11;0
9537000;0;16;0
9549000;0;-5;0
9561000;0;-42;0
9573000;0;16;0
9585000;0;11;0
9596000;0;43;0
9608000;0;80;0
9620000;0;-42;0
9631000;0;-15;0
9642000;0;11;0
9655000;0;11;0
9667000;0;16;0
9678000;0;22;0
9688000;0;-15;0
9700000;0;43;0
9712000;0;-42;0
9725000;0;-15;0
9735000;0;-53;0
9748000;0;27;0
9760000;0;27;0
9772000;0;-26;0
9783000;0;-15;0
9796000;0;16;0
9808000;0;-53;0
9820000;0;54;0
9831000;0;27;0
9843000;0;27;0
9856000;0;-5;0
9868000;0;64;0
9879000;0;-15;0
9890000;0;27;0
9903000;0;16;0
9915000;0;-15;0
9926000;0;43;0
9939000;0;43;0
9952000;0;-26;0
9963000;0;27;0
9975000;0;-15;0
9987000;0;16;0
10000000;0;-106;0
10012000;0;-42;0
10024000;0;64;0
10036000;0;16;0
10048000;0;-5;0
10061000;0;54;0
10072000;0;-5;0
10084000;0;27;0
10095000;0;-42;0
10108000;0;-26;0
10120000;0;43;0
10132000;0;80;0
10144000;0;43;0
10156000;0;22;0
10168000;0;16;0
10180000;0;11;0
10191000;0;16;0
10204000;0;-5;0
10216000;0;-31;0
10229000;0;-5;0
10242000;0;16;0
10253000;0;80;0
10264000;0;27;0
10277000;0;11;0
10289000;0;-15;0
10300000;0;-42;0
10313000;0;-42;0
